year,month,ngram,count,mean,date,ngram_lower,theme
2023,2023-10,humanitarian aid,111,1.4605263157894737,2023-10-01,humanitarian aid,Sympathy
2023,2023-11,humanitarian aid,95,1.2666666666666666,2023-11-01,humanitarian aid,Sympathy
2024,2024-03,humanitarian aid,87,1.45,2024-03-01,humanitarian aid,Sympathy
2023,2023-12,humanitarian aid,69,1.4081632653061225,2023-12-01,humanitarian aid,Sympathy
2024,2024-01,humanitarian aid,67,1.3137254901960784,2024-01-01,humanitarian aid,Sympathy
2024,2024-02,humanitarian aid,62,1.2916666666666667,2024-02-01,humanitarian aid,Sympathy
2023,2023-11,civilian casualties,42,1.2727272727272727,2023-11-01,civilian casualties,Aggression
2024,2024-04,humanitarian aid,39,1.4444444444444444,2024-04-01,humanitarian aid,Sympathy
2023,2023-12,civilian casualties,37,1.48,2023-12-01,civilian casualties,Aggression
2023,2023-12,air strike,35,1.4583333333333333,2023-12-01,air strike,Aggression
2023,2023-11,air strike,29,1.380952380952381,2023-11-01,air strike,Aggression
2021,2021-05,rocket fire,29,1.16,2021-05-01,rocket fire,Aggression
2023,2023-10,air strike,29,1.2083333333333333,2023-10-01,air strike,Aggression
2024,2024-01,air strike,23,2.3,2024-01-01,air strike,Aggression
2024,2024-03,air strike,22,1.6923076923076923,2024-03-01,air strike,Aggression
2024,2024-02,civilian casualties,20,1.25,2024-02-01,civilian casualties,Aggression
2023,2023-10,civilian casualties,20,1.1111111111111112,2023-10-01,civilian casualties,Aggression
2023,2023-04,rocket fire,17,2.4285714285714284,2023-04-01,rocket fire,Aggression
2024,2024-03,civilian casualties,17,1.0625,2024-03-01,civilian casualties,Aggression
2024,2024-04,air strike,17,1.1333333333333333,2024-04-01,air strike,Aggression
2021,2021-05,humanitarian aid,17,1.7,2021-05-01,humanitarian aid,Sympathy
2023,2023-10,innocent civilians,17,1.3076923076923077,2023-10-01,innocent civilians,Sympathy
2024,2024-01,civilian casualties,16,1.3333333333333333,2024-01-01,civilian casualties,Aggression
2023,2023-11,innocent civilians,14,1.2727272727272727,2023-11-01,innocent civilians,Sympathy
2021,2021-05,civilian casualties,14,1.5555555555555556,2021-05-01,civilian casualties,Aggression
2023,2023-11,dead bodies,14,1.0,2023-11-01,dead bodies,Aggression
2023,2023-05,rocket fire,12,1.7142857142857142,2023-05-01,rocket fire,Aggression
2021,2021-05,air strike,12,1.5,2021-05-01,air strike,Aggression
2023,2023-12,international support,11,1.2222222222222223,2023-12-01,international support,Sympathy
2023,2023-10,rocket fire,8,1.0,2023-10-01,rocket fire,Aggression
2024,2024-04,civilian casualties,8,1.1428571428571428,2024-04-01,civilian casualties,Aggression
2021,2021-05,innocent civilians,7,1.0,2021-05-01,innocent civilians,Sympathy
2023,2023-12,innocent civilians,7,1.0,2023-12-01,innocent civilians,Sympathy
2023,2023-10,dead bodies,7,1.0,2023-10-01,dead bodies,Aggression
2023,2023-12,dead bodies,5,1.0,2023-12-01,dead bodies,Aggression
2024,2024-03,innocent civilians,5,1.0,2024-03-01,innocent civilians,Sympathy
2021,2021-08,rocket fire,5,1.25,2021-08-01,rocket fire,Aggression
2024,2024-02,air strike,5,1.0,2024-02-01,air strike,Aggression
2024,2024-02,dead bodies,5,1.0,2024-02-01,dead bodies,Aggression
2023,2023-02,rocket fire,5,2.5,2023-02-01,rocket fire,Aggression
2021,2021-05,international support,5,1.25,2021-05-01,international support,Sympathy
2022,2022-04,rocket fire,5,1.25,2022-04-01,rocket fire,Aggression
2022,2022-08,civilian casualties,4,1.3333333333333333,2022-08-01,civilian casualties,Aggression
2023,2023-07,rocket fire,4,2.0,2023-07-01,rocket fire,Aggression
2024,2024-03,cease fire,4,1.0,2024-03-01,cease fire,Sympathy
2021,2021-05,cease fire,4,1.0,2021-05-01,cease fire,Sympathy
2024,2024-03,international support,4,1.0,2024-03-01,international support,Sympathy
2024,2024-02,international support,3,1.0,2024-02-01,international support,Sympathy
2022,2022-08,rocket fire,3,1.0,2022-08-01,rocket fire,Aggression
2024,2024-01,dead bodies,3,1.5,2024-01-01,dead bodies,Aggression
2022,2022-05,air strike,3,1.5,2022-05-01,air strike,Aggression
2021,2021-06,rocket fire,3,1.0,2021-06-01,rocket fire,Aggression
2024,2024-04,rocket fire,3,1.0,2024-04-01,rocket fire,Aggression
2023,2023-10,international support,3,1.0,2023-10-01,international support,Sympathy
2021,2021-06,humanitarian aid,3,1.5,2021-06-01,humanitarian aid,Sympathy
2021,2021-08,air strike,3,1.0,2021-08-01,air strike,Aggression
2022,2022-06,rocket fire,2,2.0,2022-06-01,rocket fire,Aggression
2024,2024-02,cease fire,2,1.0,2024-02-01,cease fire,Sympathy
2024,2024-01,innocent civilians,2,1.0,2024-01-01,innocent civilians,Sympathy
2023,2023-11,international support,2,1.0,2023-11-01,international support,Sympathy
2023,2023-01,rocket fire,2,2.0,2023-01-01,rocket fire,Aggression
2023,2023-01,innocent civilians,2,1.0,2023-01-01,innocent civilians,Sympathy
2024,2024-01,cease fire,2,1.0,2024-01-01,cease fire,Sympathy
2023,2023-01,international support,2,2.0,2023-01-01,international support,Sympathy
2023,2023-10,cease fire,2,1.0,2023-10-01,cease fire,Sympathy
2021,2021-06,air strike,2,2.0,2021-06-01,air strike,Aggression
2024,2024-04,innocent civilians,2,1.0,2024-04-01,innocent civilians,Sympathy
2021,2021-07,humanitarian aid,2,1.0,2021-07-01,humanitarian aid,Sympathy
2021,2021-09,rocket fire,2,1.0,2021-09-01,rocket fire,Aggression
2021,2021-09,international support,2,1.0,2021-09-01,international support,Sympathy
2021,2021-07,rocket fire,2,1.0,2021-07-01,rocket fire,Aggression
2021,2021-12,humanitarian aid,2,1.0,2021-12-01,humanitarian aid,Sympathy
2024,2024-02,innocent civilians,2,1.0,2024-02-01,innocent civilians,Sympathy
2021,2021-05,dead bodies,2,1.0,2021-05-01,dead bodies,Aggression
2022,2022-05,rocket fire,2,1.0,2022-05-01,rocket fire,Aggression
2022,2022-05,humanitarian aid,2,1.0,2022-05-01,humanitarian aid,Sympathy
2022,2022-05,international support,2,1.0,2022-05-01,international support,Sympathy
2023,2023-11,cease fire,1,1.0,2023-11-01,cease fire,Sympathy
2023,2023-12,cease fire,1,1.0,2023-12-01,cease fire,Sympathy
2024,2024-04,international support,1,1.0,2024-04-01,international support,Sympathy
2023,2023-11,military attack,1,1.0,2023-11-01,military attack,Aggression
2023,2023-11,medical help,1,1.0,2023-11-01,medical help,Sympathy
2024,2024-04,military attack,1,1.0,2024-04-01,military attack,Aggression
